product_code,product_name,cert_name,type,template_type,file,main_ingredient,origin_country
corn-starch,옥수수전분,HACCP 인증서,file,,HACCP_starch.pdf,,
corn-starch,옥수수전분,ISO9001,file,,ISO9001.PDF,,
corn-starch,옥수수전분,FSSC22000,file,,FSSC22000.pdf,,
corn-starch,옥수수전분,HALAL 인증서,file,,,,
corn-starch,옥수수전분,품목제조보고서,file,,,,
corn-starch,옥수수전분,원산지증명서,template,origin,,옥수수 100%,"옥수수(유전자변형) : 외국산
(미국, 브라질, 우크라이나 등)"
corn-starch,옥수수전분,알레르기유발물질확인서,template,allergen,,,
corn-starch,옥수수전분,식물성 원재료 확인서,template,plant,,,
corn-starch,옥수수전분,비동물성 원료 확인서,template,non_animal,,,
corn-starch,옥수수전분,돼지고기 미사용 확인서,template,no_pork,,,
corn-starch,옥수수전분,글루텐 미함유 확인서,template,gluten_free,,,
corn-starch,옥수수전분,방사선비조사 확인서,template,non_irradiated,,,
corn-starch,옥수수전분,멜라민 미사용 확인서,template,no_melamine,,,
sun-pregel,썬프리젤,HACCP 인증서,file,,HACCP_starchprocessed.pdf,,
sun-pregel,썬프리젤,ISO9001,file,,ISO9001.PDF,,
sun-pregel,썬프리젤,FSSC22000,file,,FSSC22000.pdf,,
sun-pregel,썬프리젤,품목제조보고서,file,,,,
sun-pregel,썬프리젤,원산지증명서,template,origin,,옥수수 100%,"옥수수(유전자변형) : 외국산
(미국, 브라질, 우크라이나 등)"
sun-pregel,썬프리젤,알레르기유발물질확인서,template,allergen,,,
sun-pregel,썬프리젤,식물성 원재료 확인서,template,plant,,,
sun-pregel,썬프리젤,비동물성 원료 확인서,template,non_animal,,,
sun-pregel,썬프리젤,돼지고기 미사용 확인서,template,no_pork,,,
sun-pregel,썬프리젤,글루텐 미함유 확인서,template,gluten_free,,,
sun-pregel,썬프리젤,방사선비조사 확인서,template,non_irradiated,,,
sun-pregel,썬프리젤,멜라민 미사용 확인서,template,no_melamine,,,
sun-force20,썬포스200,HACCP 인증서,file,,HACCP_oligoprocessed.pdf,,
sun-force20,썬포스200,ISO9001,file,,ISO9001.PDF,,
sun-force20,썬포스200,FSSC22000,file,,FSSC22000.pdf,,
sun-force20,썬포스200,품목제조보고서,file,,,,
sun-force20,썬포스200,원산지증명서,template,origin,,,
sun-force20,썬포스200,알레르기유발물질확인서,template,allergen,,,
sun-force20,썬포스200,식물성 원재료 확인서,template,plant,,,
sun-force20,썬포스200,비동물성 원료 확인서,template,non_animal,,,
sun-force20,썬포스200,돼지고기 미사용 확인서,template,no_pork,,,
sun-force20,썬포스200,글루텐 미함유 확인서,template,gluten_free,,,
sun-force20,썬포스200,방사선비조사 확인서,template,non_irradiated,,,
sun-force20,썬포스200,멜라민 미사용 확인서,template,no_melamine,,,
sun-force,썬포스,HACCP 인증서,file,,HACCP_oligoprocessed.pdf,,
sun-force,썬포스,ISO9001,file,,ISO9001.PDF,,
sun-force,썬포스,FSSC22000,file,,FSSC22000.pdf,,
sun-force,썬포스,품목제조보고서,file,,,,
sun-force,썬포스,원산지증명서,template,origin,,,
sun-force,썬포스,알레르기유발물질확인서,template,allergen,,,
sun-force,썬포스,식물성 원재료 확인서,template,plant,,,
sun-force,썬포스,비동물성 원료 확인서,template,non_animal,,,
sun-force,썬포스,돼지고기 미사용 확인서,template,no_pork,,,
sun-force,썬포스,글루텐 미함유 확인서,template,gluten_free,,,
sun-force,썬포스,방사선비조사 확인서,template,non_irradiated,,,
sun-force,썬포스,멜라민 미사용 확인서,template,no_melamine,,,
tri-staSL,트리스타SL,HACCP 인증서,file,,HACCP_starchprocessed.pdf,,
tri-staSL,트리스타SL,ISO9001,file,,ISO9001.PDF,,
tri-staSL,트리스타SL,FSSC22000,file,,FSSC22000.pdf,,
tri-staSL,트리스타SL,품목제조보고서,file,,,,
tri-staSL,트리스타SL,원산지증명서,template,origin,,찰옥수수전분 100%,찰옥수수 : 미국산
tri-staSL,트리스타SL,알레르기유발물질확인서,template,allergen,,,
tri-staSL,트리스타SL,식물성 원재료 확인서,template,plant,,,
tri-staSL,트리스타SL,비동물성 원료 확인서,template,non_animal,,,
tri-staSL,트리스타SL,돼지고기 미사용 확인서,template,no_pork,,,
tri-staSL,트리스타SL,글루텐 미함유 확인서,template,gluten_free,,,
tri-staSL,트리스타SL,방사선비조사 확인서,template,non_irradiated,,,
tri-staSL,트리스타SL,멜라민 미사용 확인서,template,no_melamine,,,
sun-supergel,썬슈퍼젤,HACCP 인증서,file,,HACCP_starchprocessed.pdf,,
sun-supergel,썬슈퍼젤,ISO9001,file,,ISO9001.PDF,,
sun-supergel,썬슈퍼젤,FSSC22000,file,,FSSC22000.pdf,,
sun-supergel,썬슈퍼젤,품목제조보고서,file,,,,
sun-supergel,썬슈퍼젤,원산지증명서,template,origin,,찰옥수수전분 100%,찰옥수수 : 미국산
sun-supergel,썬슈퍼젤,알레르기유발물질확인서,template,allergen,,,
sun-supergel,썬슈퍼젤,식물성 원재료 확인서,template,plant,,,
sun-supergel,썬슈퍼젤,비동물성 원료 확인서,template,non_animal,,,
sun-supergel,썬슈퍼젤,돼지고기 미사용 확인서,template,no_pork,,,
sun-supergel,썬슈퍼젤,글루텐 미함유 확인서,template,gluten_free,,,
sun-supergel,썬슈퍼젤,방사선비조사 확인서,template,non_irradiated,,,
sun-supergel,썬슈퍼젤,멜라민 미사용 확인서,template,no_melamine,,,
glucose,정제포도당,HACCP 인증서,file,,HACCP_glucose.pdf,,
glucose,정제포도당,ISO9001,file,,ISO9001.PDF,,
glucose,정제포도당,FSSC22000,file,,FSSC22000.pdf,,
glucose,정제포도당,HALAL 인증서,file,,,,
glucose,정제포도당,품목제조보고서,file,,,,
glucose,정제포도당,원산지증명서,template,origin,,옥수수전분 100%,"옥수수 : 외국산(미국, 브라질, 우크라이나 등)"
glucose,정제포도당,알레르기유발물질확인서,template,allergen,,,
glucose,정제포도당,식물성 원재료 확인서,template,plant,,,
glucose,정제포도당,비동물성 원료 확인서,template,non_animal,,,
glucose,정제포도당,돼지고기 미사용 확인서,template,no_pork,,,
glucose,정제포도당,글루텐 미함유 확인서,template,gluten_free,,,
glucose,정제포도당,방사선비조사 확인서,template,non_irradiated,,,
glucose,정제포도당,멜라민 미사용 확인서,template,no_melamine,,,
d-monohydrate,함수결정포도당,HACCP 인증서,file,,HACCP_glucose.pdf,,
d-monohydrate,함수결정포도당,ISO9001,file,,ISO9001.PDF,,
d-monohydrate,함수결정포도당,FSSC22000,file,,FSSC22000.pdf,,
d-monohydrate,함수결정포도당,HALAL 인증서,file,,,,
d-monohydrate,함수결정포도당,품목제조보고서,file,,,,
d-monohydrate,함수결정포도당,원산지증명서,template,origin,,옥수수전분 100%,"옥수수 : 외국산(미국, 브라질, 우크라이나 등)"
d-monohydrate,함수결정포도당,알레르기유발물질확인서,template,allergen,,,
d-monohydrate,함수결정포도당,식물성 원재료 확인서,template,plant,,,
d-monohydrate,함수결정포도당,비동물성 원료 확인서,template,non_animal,,,
d-monohydrate,함수결정포도당,돼지고기 미사용 확인서,template,no_pork,,,
d-monohydrate,함수결정포도당,글루텐 미함유 확인서,template,gluten_free,,,
d-monohydrate,함수결정포도당,방사선비조사 확인서,template,non_irradiated,,,
d-monohydrate,함수결정포도당,멜라민 미사용 확인서,template,no_melamine,,,
d-anhydrous,무수결정포도당,HACCP 인증서,file,,HACCP_glucose.pdf,,
d-anhydrous,무수결정포도당,ISO9001,file,,ISO9001.PDF,,
d-anhydrous,무수결정포도당,FSSC22000,file,,FSSC22000.pdf,,
d-anhydrous,무수결정포도당,HALAL 인증서,file,,,,
d-anhydrous,무수결정포도당,품목제조보고서,file,,,,
d-anhydrous,무수결정포도당,원산지증명서,template,origin,,옥수수전분 100%,"옥수수 : 외국산(미국, 브라질, 우크라이나 등)"
d-anhydrous,무수결정포도당,알레르기유발물질확인서,template,allergen,,,
